======================================
=== SHEET: Efectividad (21 rows x 16 cols) ===
======================================
 | ¿Próxima Acción? | Sí |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Tipo de Compromiso | Esta semana No |  |  |  |  |  |  |  |  |  |  |  |  | 
 | N° de Próximas acciones |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Contexto | Total |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @A la espera | 11 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Casa | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @GoPRO | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Iquique | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Oficina | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Teléfono | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Online | 17 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Offline | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Desarrollo Web | 3 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Búsqueda Internet | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Compras internet | 1 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Email | 7 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Ipad | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Computador | 6 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | @Mac | 2 |  |  |  |  |  |  |  |  |  |  |  |  | 
 | Grand Total | 70 |  |  |  |  |  |  |  |  |  |  |  |  | 
[20 data rows]

======================================
=== SHEET: PROYECTOS (121 rows x 2 cols) ===
======================================
¿Próxima Acción? | Sí
AREA | (Multiple Items)
Proyecto | N° Acciones
Estamos registrados en Sernatur y operando en regla | 1
Las redes sociales de ANE son visualmente atractivas y a la gente le atrae | 1
Los videos ANE están estructurados y ahora es más rápido la edición de video | 1
NO movimientos de ANE declarados | 1
Sergio tiene su VISA en regla | 1
Tenemos poleras nuevas a un buen precio | 2
Tengo un asesor de empresa para todos los temas relacionados con ANE | 1
Seguimos generando videos de experiences | 3
Mi cuenta de Cairo está cerrada | 1
Hago acciones de bajo costo que generan gran impacto en nuestro negocio de ANE | 1
Tenemos todas las facturas relacionadas con ANE en orden | 1
El branding personal de ANE está muy trabajado y su estrategia está completamente definida | 1
Seguimos agregando nuevos facilitadores en la tribu de ANE | 1
Seguimos ampliando la visibiliad de ANE en internet | 2
Tenemos cuenta de paypal de empresa y está integrada en nuestra web | 1
Sergio y yo Nos organizamos muy bien y trabajamos en equipo excepcionalmente | 1
Tengo un contador para ANE en el que confío y es muy bueno haciendo su trabajo | 3
Tenemos un formulario de clientes para nuestras propias actividades | 1
Tenemos un lugar seguro donde guardar nuestra  material de experiencias: Paddles y otros. A poder ser junto a la furgoneta!! | 1
La furgoneta está ploteada con ANE y Red Paddle y se ve bakan | 2
Sergio tiene su contrato de ANE en regla | 1
Sergio tiene su carnet de conducir chileno | 1
Sergio se encuentra en contínuo aprendizaje y cada día lee más porque le encanta aprender | 1
Sergio es PADI open water | 1
ANE tiene una estrategia definida en conjunto con Pisagua Sumergido para meter paddles en Pisagua | 1
ANE tiene Red Paddle en 3 tiendas de Iquique y nos los han comprado | 1
Tenemos 2 banderas de ANE y las hemos hecho en Perú | 1
Tenemos 2 banderas de Red Paddle y las hemos hecho en Perú | 1
Tenemos una polera de surftrips para hombre brutal!!! | 1
Sergio cada vez sabe más sobre la flora y fauna de la región convirtiéndose en un guía increíble | 1
Nuestras actividades ANE están super bien definidas con precios claros, rutas concretas y tiempos medidos; listas para poder enviar a clientes | 1
ANE tiene pequeños souvenirs que la gente puede comprar | 1
Sergio controla sus gastos y tiene visibilidad sobre dónde se va el dinero y se está preparando a conciencia para cuando tenga lucas!! | 1
Sergio ha cancelado su tarjeta de la Kutxa | 1
En el Marley coffe hay videos de ANE dando vueltas todo el día | 1
Sergio tiene su portátil impeke, con todos los archivos donde tienen que estar y todo lo es necesario está archivado o ya se eliminó | 1
Las tomas que grabamos en ANE son más profesionales y bakanes | 1
La furgoneta del Equipo A de ANE está full equipada para experiences | 2
Sergio tiene Fan Page de atleta bodyboarder y está increíble, se ve excelente y tiene muchas visitas. Está ligada a ANE | 1
Sergio está federado y compite en campeonatos de boadyboard internacionales | 3
ANE tiene clientes que pagan buenas lucas por experiencias | 1
Sergio tiene el certificado de primeros auxilios en Chile | 1
ANE tiene una red inmensa de colaboradores que se sienten parte de ANE | 1
Grand Total | 53
[47 data rows]

======================================
=== SHEET: LISTA de Proyectos y Acciones (863 rows x 26 cols) ===
======================================
Contador | AREA | OBJETIVO | Proyecto | Subproyecto | Acción | ¿Próxima Acción? | Contexto | Contacto | Tiempo | Energía | Fecha inicio | Fecha objetivo | ¿Fecha límite? | Tipo de Compromiso | ¿Activa? | Completada | Fecha finalización | Notas |  |  |  |  |  |  | 
1 |  |  |  |  | Comprar velas pequeñas | Sí | @Compras calle |  | 2. 15'-30' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L2="",O2=""),"",IF(AND(O2="Comprometida",(OR(L2<=TODAY(),L2="")),OR(Q2="",Q2="No"),G2="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
2 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación | Video de presentación de la web grabado y subido a la web desde la NUBE*(definir qué NUBE: dropbox, googledrive,etc.) | Grabar video de presentación de la web | No | @GoPRO |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L3="",O3=""),"",IF(AND(O3="Comprometida",(OR(L3<=TODAY(),L3="")),OR(Q3="",Q3="No"),G3="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
3 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación | Video de presentación de la web grabado y subido a la web desde la NUBE*(definir qué NUBE: dropbox, googledrive,etc.) | Subir video de presentación de la web a la nube | No | @Online |  | 3. 30'-1h' | Baja |  |  | No | Algún día/Tal vez | =IF(AND(L4="",O4=""),"",IF(AND(O4="Comprometida",(OR(L4<=TODAY(),L4="")),OR(Q4="",Q4="No"),G4="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
4 | WEB JOX |  | Web finalizada con video de presentación de la web y 1 curso de GTD con video de presentación | Video de presentación de la web grabado y subido a la web desde la NUBE*(definir qué NUBE: dropbox, googledrive,etc.) | Preparar guión de video de presentación de la web | No | @Offline |  | 3. 30'-1h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L5="",O5=""),"",IF(AND(O5="Comprometida",(OR(L5<=TODAY(),L5="")),OR(Q5="",Q5="No"),G5="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
5 | WEB JOX |  | Nuevo video posteado en mi web | Video de comentarios sobre Libro "Productividad Personal", su página web y la opinión de José Miguel Bolivar, grabado | Grabar video de comentarios sobre Libro "Productividad Personal", su página web y la opinión de José Miguel Bolivar | No | @GoPRO |  | 2. 15'-30' | Alta |  |  | No | Esta semana No | =IF(AND(L6="",O6=""),"",IF(AND(O6="Comprometida",(OR(L6<=TODAY(),L6="")),OR(Q6="",Q6="No"),G6="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
6 | WEB JOX |  | Nuevo video posteado en mi web | Video de comentarios sobre Libro "Productividad Personal", su página web y la opinión de José Miguel Bolivar, grabado | Preparar guión de video sobre José Miguel Bolivar | Sí | @Casa |  | 3. 30'-1h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L7="",O7=""),"",IF(AND(O7="Comprometida",(OR(L7<=TODAY(),L7="")),OR(Q7="",Q7="No"),G7="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
7 | WEB JOX |  | Nuevo video posteado en mi web | Video de comentarios sobre Libro "Productividad Personal", su página web y la opinión de José Miguel Bolivar, grabado | Enviar correo a José Miguel Bolivar con mi video comentando sus recursos. Aprovechar para enviar mis dudas | No | @Online |  | 2. 15'-30' | Baja |  |  | No | Esta semana No | =IF(AND(L8="",O8=""),"",IF(AND(O8="Comprometida",(OR(L8<=TODAY(),L8="")),OR(Q8="",Q8="No"),G8="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
8 | FUENTES INGRESOS |  | Creada Nueva Fuente de ingresos | Libro de José Miguel Bolivar agregado a mi página web para poder ser comprado | Incluir link de Libro de José Miguel Bolivar a mi página web | No | @Desarrollo Web |  | 3. 30'-1h' | Media |  |  | No | Algún día/Tal vez | =IF(AND(L9="",O9=""),"",IF(AND(O9="Comprometida",(OR(L9<=TODAY(),L9="")),OR(Q9="",Q9="No"),G9="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
9 | FUENTES INGRESOS |  | Creada Nueva Fuente de ingresos | GENERAL | Aprender cómo se pone en marcha el sistema de Comisiones por venta de producto de terceros | No | @Online |  | 4. 1h-2h' | Alta |  |  | No | Esta semana No | =IF(AND(L10="",O10=""),"",IF(AND(O10="Comprometida",(OR(L10<=TODAY(),L10="")),OR(Q10="",Q10="No"),G10="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
10 | CURSOS |  | Curso de GTD para Lunch & Learn ha sido un éxito | Sistema personal de GTD finalizado y listo para ser operado y mantenido | Preparar presentación powerpoint para Lunch & Learn | Sí | @Computador |  | 5. >2h' | Alta |  |  | No | Algún día/Tal vez | =IF(AND(L11="",O11=""),"",IF(AND(O11="Comprometida",(OR(L11<=TODAY(),L11="")),OR(Q11="",Q11="No"),G11="Sí"),"Sí","No")) | No |  |  |  |  |  |  |  |  | 
